experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
real_gpt56sol_med_50,run_005,run_035,0.214,0.4,0.183,0.0,False,False
real_gpt56sol_med_50,run_005,run_036,0.13,0.317,0.169,0.0,True,True
real_gpt56sol_med_50,run_005,run_037,0.142,0.902,0.187,1.0,True,True
real_gpt56sol_med_50,run_005,run_038,0.08,0.387,0.013,0.0,True,True
real_gpt56sol_med_50,run_005,run_039,0.249,0.142,0.012,0.0,False,True
real_gpt56sol_med_50,run_005,run_040,0.107,0.387,0.232,0.0,True,True
real_gpt56sol_med_50,run_005,run_041,0.115,0.249,0.031,0.0,False,False
real_gpt56sol_med_50,run_005,run_042,0.107,0.692,0.009,1.0,True,True
real_gpt56sol_med_50,run_005,run_043,0.131,0.291,0.016,0.0,False,False
real_gpt56sol_med_50,run_005,run_044,0.107,0.967,0.258,1.0,True,True
real_gpt56sol_med_50,run_005,run_045,0.19,0.355,0.263,1.0,True,True
real_gpt56sol_med_50,run_005,run_046,0.163,0.272,0.267,0.0,True,True
real_gpt56sol_med_50,run_005,run_047,0.224,0.851,0.1,1.0,True,True
real_gpt56sol_med_50,run_005,run_048,0.171,0.498,0.181,1.0,True,True
real_gpt56sol_med_50,run_005,run_049,0.093,0.347,0.012,0.0,True,True
real_gpt56sol_med_50,run_005,run_050,0.143,1.0,0.019,1.0,True,True
real_gpt56sol_med_50,run_006,run_007,0.119,0.031,0.155,1.0,True,True
real_gpt56sol_med_50,run_006,run_008,0.196,0.336,0.035,1.0,False,False
real_gpt56sol_med_50,run_006,run_009,0.11,0.386,0.026,1.0,True,True
real_gpt56sol_med_50,run_006,run_010,0.232,0.276,0.155,1.0,False,False
real_gpt56sol_med_50,run_006,run_011,0.146,0.305,0.136,0.0,False,False
real_gpt56sol_med_50,run_006,run_012,0.077,0.363,0.015,1.0,True,True
real_gpt56sol_med_50,run_006,run_013,0.127,0.14,0.038,1.0,False,False
real_gpt56sol_med_50,run_006,run_014,0.178,0.188,0.034,0.0,False,False
real_gpt56sol_med_50,run_006,run_015,0.102,0.292,0.014,1.0,False,False
real_gpt56sol_med_50,run_006,run_016,0.174,0.108,0.096,1.0,False,True
real_gpt56sol_med_50,run_006,run_017,0.153,0.147,0.022,0.0,False,False
real_gpt56sol_med_50,run_006,run_018,0.139,0.201,0.063,0.0,False,False
real_gpt56sol_med_50,run_006,run_019,0.112,0.292,0.061,1.0,False,False
real_gpt56sol_med_50,run_006,run_020,0.277,0.374,0.075,1.0,False,False
real_gpt56sol_med_50,run_006,run_021,0.13,0.147,0.026,0.0,False,False
real_gpt56sol_med_50,run_006,run_022,0.247,0.373,0.221,1.0,True,True
real_gpt56sol_med_50,run_006,run_023,0.115,0.185,0.052,0.0,False,False
real_gpt56sol_med_50,run_006,run_024,0.123,0.058,0.056,1.0,False,False
real_gpt56sol_med_50,run_006,run_025,0.066,0.058,0.052,1.0,False,False
real_gpt56sol_med_50,run_006,run_026,0.176,0.257,0.045,1.0,False,False
real_gpt56sol_med_50,run_006,run_027,0.21,0.348,0.084,1.0,False,True
real_gpt56sol_med_50,run_006,run_028,0.122,0.197,0.105,0.0,False,False
real_gpt56sol_med_50,run_006,run_029,0.083,0.056,0.026,1.0,False,False
real_gpt56sol_med_50,run_006,run_030,0.046,0.26,0.043,0.0,False,False
real_gpt56sol_med_50,run_006,run_031,0.097,0.39,0.055,1.0,False,False
real_gpt56sol_med_50,run_006,run_032,0.078,0.155,0.023,1.0,False,False
real_gpt56sol_med_50,run_006,run_033,0.156,0.272,0.009,0.0,False,False
real_gpt56sol_med_50,run_006,run_034,0.152,0.09,0.08,1.0,False,False
real_gpt56sol_med_50,run_006,run_035,0.146,0.396,0.017,1.0,True,True
real_gpt56sol_med_50,run_006,run_036,0.108,0.396,0.071,1.0,False,False
real_gpt56sol_med_50,run_006,run_037,0.18,0.169,0.147,0.0,False,False
real_gpt56sol_med_50,run_006,run_038,0.288,0.286,0.034,1.0,False,False
real_gpt56sol_med_50,run_006,run_039,0.073,0.115,0.03,1.0,False,False
real_gpt56sol_med_50,run_006,run_040,0.084,0.352,0.015,1.0,False,False
real_gpt56sol_med_50,run_006,run_041,0.079,0.327,0.035,1.0,True,True
real_gpt56sol_med_50,run_006,run_042,0.116,0.23,0.078,0.0,False,False
real_gpt56sol_med_50,run_006,run_043,0.068,0.316,0.053,1.0,True,True
real_gpt56sol_med_50,run_006,run_044,0.238,0.185,0.064,0.0,False,False
real_gpt56sol_med_50,run_006,run_045,0.087,0.278,0.032,0.0,False,False
real_gpt56sol_med_50,run_006,run_046,0.074,0.356,0.112,1.0,False,False
real_gpt56sol_med_50,run_006,run_047,0.152,0.147,0.015,0.0,False,False
real_gpt56sol_med_50,run_006,run_048,0.166,0.041,0.044,0.0,False,False
real_gpt56sol_med_50,run_006,run_049,0.161,0.318,0.03,1.0,False,False
real_gpt56sol_med_50,run_006,run_050,0.168,0.188,0.04,0.0,False,False
real_gpt56sol_med_50,run_007,run_008,0.171,0.33,0.022,1.0,False,False
real_gpt56sol_med_50,run_007,run_009,0.127,0.461,0.019,1.0,True,True
real_gpt56sol_med_50,run_007,run_010,0.135,0.276,0.104,1.0,False,False
real_gpt56sol_med_50,run_007,run_011,0.083,0.276,0.273,0.0,False,False
real_gpt56sol_med_50,run_007,run_012,0.075,0.462,0.185,1.0,True,True
real_gpt56sol_med_50,run_007,run_013,0.122,0.045,0.02,1.0,False,False
real_gpt56sol_med_50,run_007,run_014,0.131,0.15,0.02,0.0,False,False
real_gpt56sol_med_50,run_007,run_015,0.094,0.36,0.045,1.0,False,False
real_gpt56sol_med_50,run_007,run_016,0.197,0.049,0.037,1.0,False,True
real_gpt56sol_med_50,run_007,run_017,0.1,0.145,0.092,0.0,False,False
real_gpt56sol_med_50,run_007,run_018,0.191,0.153,0.211,0.0,False,False
real_gpt56sol_med_50,run_007,run_019,0.112,0.376,0.018,1.0,False,False
real_gpt56sol_med_50,run_007,run_020,0.146,0.429,0.048,1.0,False,False
real_gpt56sol_med_50,run_007,run_021,0.193,0.145,0.021,0.0,False,False
real_gpt56sol_med_50,run_007,run_022,0.08,0.571,0.193,1.0,True,True
real_gpt56sol_med_50,run_007,run_023,0.163,0.147,0.123,0.0,False,False
real_gpt56sol_med_50,run_007,run_024,0.115,0.088,0.067,1.0,False,False
real_gpt56sol_med_50,run_007,run_025,0.068,0.144,0.05,1.0,False,False
real_gpt56sol_med_50,run_007,run_026,0.083,0.244,0.031,1.0,False,False
real_gpt56sol_med_50,run_007,run_027,0.17,0.342,0.111,1.0,False,True
real_gpt56sol_med_50,run_007,run_028,0.143,0.225,0.189,0.0,False,False
real_gpt56sol_med_50,run_007,run_029,0.092,0.062,0.06,1.0,False,False
real_gpt56sol_med_50,run_007,run_030,0.056,0.233,0.05,0.0,False,False
real_gpt56sol_med_50,run_007,run_031,0.151,0.28,0.277,1.0,False,False
real_gpt56sol_med_50,run_007,run_032,0.08,0.071,0.067,1.0,False,False
real_gpt56sol_med_50,run_007,run_033,0.127,0.23,0.025,0.0,False,False
real_gpt56sol_med_50,run_007,run_034,0.134,0.031,0.05,1.0,False,False
real_gpt56sol_med_50,run_007,run_035,0.08,0.48,0.046,1.0,True,True
real_gpt56sol_med_50,run_007,run_036,0.09,0.424,0.114,1.0,False,False
real_gpt56sol_med_50,run_007,run_037,0.091,0.184,0.067,0.0,False,False
real_gpt56sol_med_50,run_007,run_038,0.136,0.38,0.027,1.0,False,False
real_gpt56sol_med_50,run_007,run_039,0.07,0.084,0.024,1.0,False,False
real_gpt56sol_med_50,run_007,run_040,0.087,0.312,0.033,1.0,False,False
real_gpt56sol_med_50,run_007,run_041,0.078,0.324,0.019,1.0,True,True
real_gpt56sol_med_50,run_007,run_042,0.185,0.197,0.016,0.0,False,False
real_gpt56sol_med_50,run_007,run_043,0.19,0.493,0.013,1.0,True,True
real_gpt56sol_med_50,run_007,run_044,0.149,0.147,0.054,0.0,False,False
real_gpt56sol_med_50,run_007,run_045,0.08,0.241,0.046,0.0,False,False
real_gpt56sol_med_50,run_007,run_046,0.081,0.408,0.231,1.0,False,False
real_gpt56sol_med_50,run_007,run_047,0.081,0.145,0.009,0.0,False,False
real_gpt56sol_med_50,run_007,run_048,0.118,0.037,0.058,0.0,False,False
real_gpt56sol_med_50,run_007,run_049,0.247,0.355,0.018,1.0,False,False
real_gpt56sol_med_50,run_007,run_050,0.087,0.15,0.075,0.0,False,False
real_gpt56sol_med_50,run_008,run_009,0.225,0.384,0.022,1.0,False,False
real_gpt56sol_med_50,run_008,run_010,0.263,0.385,0.021,1.0,False,True
real_gpt56sol_med_50,run_008,run_011,0.193,0.295,0.008,0.0,False,True
real_gpt56sol_med_50,run_008,run_012,0.149,0.366,0.021,1.0,False,False
real_gpt56sol_med_50,run_008,run_013,0.179,0.196,0.105,1.0,False,True
real_gpt56sol_med_50,run_008,run_014,0.161,0.341,0.033,0.0,False,True
real_gpt56sol_med_50,run_008,run_015,0.158,0.365,0.024,1.0,False,True
real_gpt56sol_med_50,run_008,run_016,0.268,0.085,0.035,1.0,False,False
real_gpt56sol_med_50,run_008,run_017,0.201,0.364,0.184,0.0,False,True
real_gpt56sol_med_50,run_008,run_018,0.213,0.341,0.028,0.0,False,True
real_gpt56sol_med_50,run_008,run_019,0.209,0.584,0.025,1.0,False,True
